Config ID,MASE,WQL,RMSE[mean],MAE
101,8.084046553986711,0.4425013116591082,27685.190242149452,6702.484138705448
103,1.3166733305600258,0.21394916530815752,20418.86652477866,2832.7391115116593
102,1.5632989817776342,0.24922564620954893,30476.1471664962,4188.022192348393
106,1.2616930485785811,0.20476828319904455,17717.95031225664,2734.694263749574
104,1.3338199292496076,0.20425270487317138,22251.404974139703,3008.3447292186274
105,7.347952927431629,0.4267470824657752,31782.704042043268,6510.953437678361
107,1.2282172783212413,0.20745807114534032,20711.30682977045,2771.0972631967884
108,1.3170945180960618,0.20165632075032508,15513.187531162319,2649.0493247122226
109,1.3984860397175105,0.21325755738354696,26285.974795450402,3220.3943967093687
110,1.2962299712724457,0.2103380311147301,20060.627245113417,2931.7716031898485
111,1.7904518082659664,0.2743861600992809,31950.5097116258,4103.061850800871
113,6.126347671402693,0.41236725071394914,26900.20167278208,4549.727952601173
112,1.4065422814765136,0.21013273228636173,17969.488268868048,2814.0339349272913
114,6.344405937231008,0.44717872136342757,10349.638143156888,3017.233697103436
115,1.2539344575517248,0.20309514742058948,16873.832681917764,2656.9394397767555
119,1.4312610775404357,0.21456167146536617,23438.10773977624,3203.112196741322
116,6.103734104439584,0.35929059384818995,14827.926099312246,3771.4875078322684
118,6.637556955940022,0.47362659468337565,16585.065849496554,3647.9886454672464
121,1.764083329951153,0.25176278427773996,26981.150154768467,3497.110161011992
120,6.272424291406023,0.41758496486416447,30648.74296745574,4939.8379997683915
117,1.2769575657842875,0.20992569781547663,17395.059375277564,2771.307248797787
122,1.2759030741466943,0.19710350062620527,14829.789898028916,2625.0025223265675
123,1.6455414873121472,0.245661621776714,25775.413154422364,3666.119259210421
124,1.584270809690992,0.25761478146889805,13495.724783071626,2824.4467371323467
126,6.8998585540192625,0.4624856133173069,20984.775639425166,3592.7526723216565
125,6.381156877255348,0.4725347921747431,13407.168310255436,3541.3125449892677
127,1.2345409728377943,0.20286332574665092,18484.820084535157,2769.818290019253
128,5.720082328469241,0.40545658332857604,44692.79586223071,6031.438343627149
129,1.3515714619558503,0.21920810674766036,15175.345223961016,2742.2472971482953
131,6.521853029396328,0.4577019147263352,12816.680332215701,3610.1664890573975
130,1.5580335406747339,0.2275903709272359,30596.062512185654,3643.1005447897783
132,1.3070050473177872,0.2218735150114157,14733.404803871788,2580.371067278766
133,6.439901883318983,0.47956897561722717,32053.10344007898,3343.5621675236894
134,5.9520818338473775,0.40542848159190625,35662.127883101515,4873.437057863581
135,1.7877919659772412,0.27687924044373663,26932.480479612463,3832.932169684658
136,5.839451219917893,0.3797726588009581,17295.858638545735,3883.0731700277734
137,6.034761234599919,0.3604104023331339,38071.023748351276,5207.676098178296
140,6.291675402821129,0.44110133829417414,28681.610613101042,4446.80748483455
139,7.581489437468169,0.45166624690035967,10532.144587688656,2835.068022714765
138,1.494373998445566,0.22431057249813435,24648.763259747837,3285.142357632189
141,5.902377181532253,0.43631792256365226,14254.726979646945,3900.444772217435
142,1.2454092141572743,0.19965780975935404,21321.681436049712,2887.1064195110253
143,1.3600131380134968,0.21844720749352015,13439.330329823466,2748.3372256089456
144,1.4417445845608299,0.22440713290980832,26964.571848328535,3194.509863532007
146,1.511855545147731,0.22882089741798997,21972.070163666584,3213.295598289894
145,1.2937135684889811,0.2141186169318967,17109.34094105621,2717.365121197886
147,1.1993228526499584,0.19188852725420666,21244.349646850416,2768.032650351503
148,5.729485852153949,0.3528338466351985,22371.43550230526,4163.6826408496645
149,1.233960528101195,0.19408629456147802,17943.840779908427,2734.923197002451
150,1.310140915039125,0.20191555857918664,17113.543271128543,2830.1198396381
