Config ID,MASE,WQL,RMSE[mean],MAE
1,3.2025262891750605,0.361050099386331,49813.40321554605,6440.957254424598
2,2.2927948320569356,0.2819135062077264,38624.053938896934,4722.59802875819
3,1.352318621167085,0.20541531324761084,18851.42156211433,2868.701913093583
4,1.6904427643473645,0.24874445944745333,19273.397873759743,3089.3818496308636
5,6.883987406477759,0.43854558675110844,30143.84029095269,5109.888084143977
6,5.966063753483922,0.3778688425005239,47833.6442725031,6566.796206706922
7,2.3696280428977223,0.30407028281547277,35702.47793459457,4438.393711604512
8,6.416822260751948,0.4523165388198576,37264.84641986146,3775.282516676183
9,1.4561969872327716,0.21875659003168302,19673.06626069827,2961.064972490596
10,1.539968359819431,0.2334661928375578,19571.0453015885,3417.5477695009995
11,1.646081151520058,0.25010628304481825,26759.33754687589,3735.1817667440428
12,1.555380652201775,0.2143305644655691,18537.324341496973,2863.6379952834486
13,6.653718678742285,0.4030999606129139,34195.94040434842,4265.1991020319065
14,5.637119864629332,0.3555704969101239,44582.74456257145,5451.985296359211
15,1.3644736870750624,0.2234567911560032,20262.37516780379,2817.2555533433215
16,1.438835229206739,0.22617745006451634,19326.37191837294,3007.7405941068146
17,6.109415346123611,0.34538985765947705,35649.222208003564,4873.241567017945
18,1.3283429864169776,0.2011925395164366,17030.4934878631,2669.0653491896537
19,1.3198752211398515,0.19788264362183952,22639.047052943202,2972.2279841426307
20,1.9773975772308625,0.28039367926422876,44538.034489094796,5218.8187161747055
21,6.555512761508865,0.43417966918407974,29362.14338192283,3833.9308672453126
22,1.6052744382062987,0.24347253786033982,15680.252200331106,2792.772162076309
23,1.549557277757781,0.23542388025959043,17282.250014777077,2959.1801287087014
24,1.5177903832571535,0.22268325704792113,16690.18512407094,2960.1082448727116
25,7.276219025883067,0.3984565871244325,12257.828736176232,3175.2296769546147
26,1.5248431797826782,0.23977488579701117,19331.463088529046,3148.116364130182
27,3.155181694713889,0.3327076058988446,100952.81102887464,9553.695787791257
28,5.730745518813496,0.3759930040801445,44858.82467550691,6572.204663644681
29,7.031334431717939,0.43240934839094725,24984.847961402633,3859.403397549813
30,6.1365866527665025,0.4089860442668815,42186.72433115219,5155.636351518831
31,2.876797518101532,0.3370950799627874,64926.873766305886,6856.234244936453
32,6.2863334060025124,0.450880195229745,24661.206380751326,3395.9204587838735
33,2.1170569507368913,0.26556583887370383,20685.78274750975,3553.2256404424106
34,6.153435488167779,0.4010012924118034,39811.036590209194,5228.298751134528
35,1.3264118699394167,0.2128505123551359,12395.939840213721,2130.88729052152
36,5.977246103036445,0.36681242453917723,24891.14319263428,4341.567224821573
37,3.38825680075062,0.3298505708419085,57861.31067033969,5735.342085447892
38,1.5569274957969743,0.2320646808699621,25916.864038752803,3561.6089938116615
39,1.76918608109971,0.260735705853663,38122.60176421366,4271.978875420621
40,5.910554280832226,0.4302415195259574,12387.917189057185,3213.3622510648775
41,1.3922249480871656,0.20519697231574183,23870.655518109634,3067.529870834527
42,3.059002473051512,0.32459539189022923,90533.4794792488,8841.610688884562
43,2.2883134316801312,0.29393777401162935,39339.49467399943,4814.082195467184
44,2.5594314600197445,0.3038181143334828,37667.59313898709,4812.441449835882
45,6.4367825274036665,0.4062026972409653,29834.512718112266,4039.108228861891
46,2.7583446217843837,0.31117306466937655,40035.0340210982,5429.039066574202
47,3.694777246402571,0.3040822687821907,36437.38581848788,4733.533450262364
48,5.794369835907419,0.37193854400442333,20190.551541181972,3841.689630490453
49,2.156126263919677,0.2738228197373749,36578.900143920524,4239.823091981968
50,6.218271852938672,0.4425297693958064,35454.337495913715,4648.574853273534
