Config ID,MASE,WQL,RMSE[mean],MAE
1,1.5944540066316035,0.2512078606864377,30752.759978681144,4316.155524352225
3,1.2242069223448588,0.1919064243796486,22461.193754111522,3011.203074211725
4,1.3392597629631515,0.2161520851223912,20816.31624869668,3039.149468380375
5,6.165471714442319,0.40561145351550804,35858.70860037829,4907.32989927454
6,5.591609354801631,0.3688200266682111,43055.09754259165,5688.131113648301
7,1.6305596657271493,0.24407728445809865,39621.53601572894,4679.805288811912
8,5.989097970235617,0.45395945534752,12076.7731968541,3549.116803627391
9,1.2885215602770452,0.20315250510869648,21953.008173996972,3162.1595142274978
10,1.3001285066556791,0.20867014227723446,20878.356781977247,2832.5580417547685
11,1.3197416177257821,0.20364269722337014,20071.03331725773,2856.920893013345
12,1.2954633867431469,0.1996962723582893,18556.26844224165,2653.958711935696
13,5.841688622865695,0.4155088670575296,46329.34741911856,5883.012175739642
14,5.5735901416163385,0.3559042584107982,30352.29801890546,4911.293342074681
15,1.2152703558108449,0.2022523281358741,18125.36563602804,2643.9409836293053
16,1.2481320409576366,0.20602610191535764,18035.676730630767,2811.3529810321256
17,5.921949433125618,0.3413678105265873,28838.98079423747,4205.708394842754
18,1.209476052313773,0.19180889697213693,25979.864298962937,3082.4627213195704
19,1.2016540478753712,0.18785473885650367,22651.049531798988,3098.8281659108866
20,1.4389316861800507,0.23313217028206754,21073.713894156266,3381.4106937201755
21,5.991184697153477,0.46756982987894385,39831.0275136034,5409.625483995324
22,1.2572573558774416,0.21097531368421404,17329.937432015256,2552.814568503354
23,1.3229648978008102,0.21490258765082285,17938.163143136593,2689.5788172035395
24,1.2822482961101167,0.19945028132698095,15491.43815240188,2635.656688739408
25,6.747558370749801,0.4640091439846809,20637.416121954695,4196.577918092319
26,1.3109270819442795,0.21211539878225347,14943.006893557671,2672.9416247275094
28,6.406835644690012,0.3916442315901695,33658.401254913675,4975.005488616805
27,1.5873476367634471,0.24393836110140013,34458.88844033953,3946.2803394481807
29,5.925739777747813,0.44181803556112065,43334.909511867954,5444.7044238927565
30,5.9947690301180945,0.4302466256063484,24311.334563194378,4216.491183875579
31,1.69646017119324,0.24905259343573502,31428.759682187232,4143.164082368393
32,6.543605512423728,0.46334462598647613,18113.800444679913,3317.1366477656516
33,1.3463482836676772,0.20952910110633408,18168.215479454095,2702.7211620144694
34,5.689854659601851,0.3799334939302047,32228.94948810645,4577.061533477926
36,5.506618073219388,0.3360390877911415,19728.56079858053,3895.6172991291255
35,1.19918450141725,0.20114499616816645,17055.48585891744,2607.6050196307447
37,1.931851643027457,0.2646215510589322,36879.197970551984,4706.829258336268
38,1.3054437856560743,0.2088766389549074,16176.401892564823,2586.680737258168
39,1.3773887552798068,0.21661020384720503,21661.277387296323,2983.168653313322
40,6.568088676281084,0.4481167658096047,11121.548264276451,3121.7168210985533
44,1.7338377288551017,0.252134186983186,45266.23164100538,4700.814497551151
42,1.7621612033632126,0.25489862591904777,35183.23267606785,4418.04094207097
45,6.042787496621289,0.4438757142260549,15198.612463070487,3570.7925302895887
41,1.251697320485645,0.19526639186098177,21074.592841363734,2744.9416107589623
46,1.4890967456613713,0.2336465958908292,38067.424229637945,4558.303359166109
43,1.4143064720083833,0.23256540033044656,17122.546091463733,2618.4209181257224
47,2.3634821121297533,0.24326313378278147,27054.325171267254,3956.0263511086587
48,6.019661105126815,0.37716339959942663,20657.51565007309,3589.652504961879
50,6.072839676626643,0.4303227033030537,38670.78849449668,4683.67100169009
49,1.4975386327094056,0.2236319642268265,20656.523929119805,3132.2869253834965
2,1.5379465645246306,0.22831616254267104,26627.54502430648,3587.9595494746454
