Config ID,MASE,WQL,RMSE[mean],MAE
1,12.754089123647505,0.41693126821852156,5961955.646460319,486380.450994883
2,8.530139188945164,0.27457063990330455,952919.0908511297,86128.84553392806
3,3.978742020409982,0.19430604232342225,213474.71619885822,39565.158767071975
4,4.757411595020751,0.21070894926160494,196346.7762299178,32420.86831418535
5,16.6806854916687,0.6744070399046321,7550577.710659236,714212.9109057413
6,11.26147917594799,0.38758435617688713,2541904.7148956726,279017.6136654186
7,9.496350527300578,0.2824003453044134,603482.7159667296,56896.402830197694
8,14.047581620176006,0.5197626211761156,4292264.872420685,405892.3234901103
9,4.331741950276457,0.20588181995161328,232281.93362524998,35833.469552962124
10,4.299200484872017,0.20448139233047347,834348.127859766,30837.57316743684
11,5.455863361289068,0.21387489246715233,184150.60478660683,44330.55379742287
12,5.116039984661239,0.2195904334905073,294727.74655207817,63067.819011324005
13,13.837689183881464,0.458989378753963,2602513.3859919407,323561.70960881485
14,12.31167452693833,0.39956999641942775,2322964.366743947,300207.65617487405
15,4.372209305768231,0.2187206541597004,219315.89141787018,43605.46306169509
16,4.159360609445443,0.19940103949789645,196199.91187514146,32637.70445823614
17,10.970599062249809,0.335768860481221,4229096.433624617,278797.3220046704
18,3.8305134927183224,0.18891919005820815,199511.819227753,33700.73199053769
19,3.7085033757127346,0.1843427708684884,428809.99250858417,34351.173498321696
20,7.216007622366005,0.2581670149804201,864890.6693617259,112290.41986017392
21,11.937000437479886,0.42123538849715775,2075275.8218352015,272232.7669295608
22,5.630177510666917,0.25565531056268337,1043497.7766788856,127136.67647455096
23,5.008776697253186,0.21365749276273227,186944.9535453569,30286.610701387253
24,4.187852027860465,0.20641154136969855,255301.89766467005,43286.08247341338
25,11.652237355624736,0.43275635765389825,2684205.6777093303,311406.4404435035
26,4.29276443138755,0.2083798830859779,215154.15225776285,33799.996829012794
27,12.756768750538416,0.40158945610097346,1800024.1804832548,180906.9660153256
28,11.805141249614133,0.4012586095668627,3889512.9722811067,520068.472790197
29,13.835878184208152,0.47098061287291304,3375548.036823187,390750.57483816106
30,12.711589204188261,0.4226624586826387,2455491.7720772005,313662.35817771667
31,12.518366179017319,0.374466040872473,680811.9998427434,98753.1280012954
32,15.091257242020035,0.47931512995199116,2979845.011439087,249502.28814373264
33,9.016193207940299,0.32902643401945686,2616007.8267213786,355025.13912468246
34,11.911088300371322,0.3989238306155939,2099668.824252559,258143.3439087422
35,3.823249243863778,0.19175670581980203,215725.91928934786,30475.101598314577
36,12.215757959810494,0.38951705714775975,4159335.084869488,547202.9820776274
37,12.71715401012511,0.40877585920960846,826688.1563509556,105936.2212490031
38,6.367890286656437,0.25232015716827133,508727.4640990945,52834.015449210616
39,5.386139699205266,0.2293581668750319,935032.6931066222,101223.24729357914
40,24.924854576646993,0.7083641416680335,7886852.204149459,1646581.0837137362
41,4.193175154680552,0.19792471445257126,295333.96865448187,41647.73465098008
42,12.636851457986994,0.40223195731892586,2245742.909265842,307083.1265372214
43,8.037335923122967,0.27484133823198437,845932.9856640672,106191.69366807323
44,11.286870186782942,0.32230721546493324,615585.7442860951,89909.81740951033
45,13.765340423133653,0.48953372493069547,4760282.428987589,315733.0975233059
46,12.97164472325809,0.4033077247854067,2908719.0492503387,399564.01976192556
47,7.7700210763425615,0.2681137552214469,656028.7897820205,74778.3702219472
48,11.946192700573143,0.3962515627692881,2451093.4869688614,342901.18097840284
49,12.910185575751418,0.4012345743219,2889028.203619452,424368.74550223944
50,12.305034537298063,0.4037099602690739,1885127.9239792088,187964.1630413852
