Evaluation Type,Scaling Parameter,MASE,WQL,RMSE[mean],MAE
in-domain,context_length,0.9746 (7.22e-33),0.9831 (4.71e-37),0.6203 (1.55e-06),0.8076 (1.37e-12)
in-domain,num_heads,0.9125 (2.90e-20),0.9183 (6.04e-21),0.2322 (1.05e-01),0.4161 (2.65e-03)
in-domain,num_layers,0.9593 (5.27e-28),0.9727 (4.08e-32),0.6433 (4.69e-07),0.8203 (3.11e-13)
in-domain,max_steps,0.9743 (1.03e-32),0.9888 (2.79e-41),0.4230 (2.21e-03),0.6757 (7.30e-08)
zero-shot,context_length,0.9762 (1.64e-33),0.9823 (1.36e-36),0.7414 (7.38e-10),0.7950 (5.44e-12)
zero-shot,num_heads,0.9016 (4.33e-19),0.9089 (7.42e-20),0.7221 (3.26e-09),0.7273 (2.21e-09)
zero-shot,num_layers,0.9265 (5.15e-22),0.9503 (5.82e-26),0.7323 (1.50e-09),0.7230 (3.03e-09)
zero-shot,max_steps,0.9810 (7.78e-36),0.9845 (5.65e-38),0.8179 (4.16e-13),0.8232 (2.19e-13)
