Config ID,MASE,WQL,RMSE[mean],MAE
101,4.155503366459704,0.2061463574921369,334229.57500293734,43526.40243221799
106,11.8100990442817,0.42666823222695305,3599814.1190128834,476024.2088001643
102,4.000406003529519,0.19682325999679057,257087.57590678128,40179.008647648756
103,3.382073122370391,0.180893281721674,1686449.9625848564,36774.39209039494
104,4.018775428331659,0.2034259051895109,209306.0728472082,34185.95062054452
105,12.805191771582804,0.42011681848717014,3851554.0215206384,458524.2129456304
107,4.58682411094199,0.20830063702019888,262076.10929167387,38761.56626910046
108,12.437621592132812,0.42637910057048006,1537772.8332975735,212578.7212378564
110,3.6654095341367627,0.19061724481411169,205148.98918336167,34514.17901546734
109,3.6528358646195622,0.18919291708615263,179638.3093455599,32581.75324435146
114,11.549316297113974,0.4177205316480497,2470690.90330622,229357.72182778228
111,3.9250860837595183,0.19287327327195417,204373.88074471045,37723.98241524719
112,3.6859033822246383,0.18264461410534244,228271.26763937404,36166.235556736836
113,15.38670542347376,0.44784445990481,5282912.188249254,1075901.9698750174
115,3.434733911712297,0.1839795157589055,220453.96601643466,31091.801825545073
116,3.5516715095418636,0.18903184074826965,202775.1861331623,34082.220695146534
117,11.575807073999691,0.3862208999381718,3830418.5707766125,488963.2074383707
118,3.4609917928469343,0.17990077572240645,190081.9141144609,35795.88778244249
119,3.4398187774418836,0.17754869945917595,280934.4835283802,36389.51179530426
120,3.9005400719106396,0.19914878280545636,219561.88345791132,33606.500306624344
121,20.800348433817405,0.7366556646278517,6687331.778466813,849906.8729732521
122,3.665355185053102,0.18887952281064743,210420.54752652135,29889.10771656443
125,11.908559437546346,0.39920727945129314,5719751.65673992,965899.8698946326
123,3.921195647812095,0.19776759999587454,185007.1408598818,32009.95285265905
126,4.741739576865472,0.22947644688227373,404280.6233990612,55771.322677847595
127,4.013910754277892,0.199612964660665,243922.61987320197,39936.76518903944
130,10.520466807102402,0.40330532191444923,2277653.361650432,286329.77148964786
132,13.447554492695176,0.49570946576785363,13693614.855413062,504923.48538017325
131,4.460744788222393,0.21530383813624268,478924.39870993845,52112.54927597952
129,12.629600212977182,0.4522414210619261,2594092.369778833,336937.7350223655
133,12.273652134987639,0.37600019667268775,1357034.2225386915,116677.202075438
128,10.694520696828283,0.38001358934184043,2400734.112518077,322700.41966463963
134,12.298649882372695,0.417824716020846,3830087.2590433895,377992.2805176972
136,13.004782377348842,0.4237669878971318,3167174.3195436355,358549.44164937385
137,4.793881034922308,0.2119731924821544,271268.8711862952,46965.91385512644
138,3.5431563169753897,0.18695592986934084,191301.62972720485,30843.07732334916
143,3.805641948439871,0.1960888116545626,1388615.0515133168,28979.98469548867
142,4.279652926343623,0.21533949776619857,430617.28001470893,42754.486658190035
141,3.589037549751327,0.18273838592047273,196295.73950967097,35942.636493336846
144,4.015957672685033,0.19328178732084741,314563.42895633844,36261.10046469886
140,15.20366974794044,0.43006637471944276,6653612.747823751,297345.37574642216
139,3.751056663230793,0.19139077549835037,182417.12641063234,29781.981090525256
146,4.208063033847971,0.19808175699035363,252725.30212887612,38518.964550731434
147,3.9244386805724787,0.19607814748303726,448986.61282865744,43405.31054335766
145,13.216883039439622,0.4687011394700616,4338513.661439158,369247.5114672917
149,3.902314519806648,0.19870740129654668,176692.6042421886,30589.808469732132
148,11.612010021717072,0.39287402402315713,2183941.54031103,296327.8919936751
150,19.531423112983752,0.6984393071835308,9070177.205892708,642473.9762813963
124,3.700140833441778,0.18516601560058918,294720.47183458024,40178.07697940197
135,3.4943554351225896,0.18309455376584743,185354.1264645533,31086.127944052314
